"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.150170884E0,1.608723402E-1,-1.043696404E0,-6.009168625E-1,1.215023937E0
3.160048019E0,1.597138643E-1,-1.043332100E0,-5.974876285E-1,1.212865143E0
3.170916561E0,1.023833752E-1,-2.229258060E0,-4.876074791E-1,2.284258065E0
3.180114269E0,3.125619888E-2,-2.226438999E0,-4.262605906E-1,2.267091894E0
3.191513280E0,-2.365373373E-1,-3.346623898E0,-3.564084768E-1,3.373850682E0
3.200021249E0,-7.706204057E-2,-3.347027302E0,-3.108007908E-1,3.362309838E0
3.210534894E0,-4.399840832E-1,-4.572669506E0,-4.082489014E-2,4.593969860E0
3.220413019E0,-2.877861261E-1,-4.575889111E0,-4.273116589E-2,4.585129001E0
3.230540624E0,-4.973772168E-1,-5.734460831E0,-1.077799797E-1,5.756999361E0
3.240146926E0,-4.962809086E-1,-5.734236717E0,-1.057933569E-1,5.756644657E0
3.250183697E0,-4.260428846E-1,-6.419563770E0,-4.081404209E-2,6.433815145E0
3.260058644E0,-3.727547228E-1,-6.423553944E0,-7.769894600E-2,6.434829328E0
3.270592707E0,-2.381787598E-1,-7.036351204E0,2.010540962E-1,7.043251390E0
3.280330363E0,-1.888764948E-1,-7.043577194E0,1.298067570E-1,7.047304720E0
3.290393801E0,-1.119580641E-1,-7.340402126E0,4.367715716E-1,7.354237376E0
3.300345728E0,-9.244550765E-2,-7.394257069E0,5.186544657E-1,7.413001162E0
3.310243540E0,-9.215307236E-2,-7.403806210E0,5.572099686E-1,7.425316258E0
3.320233592E0,-1.422992349E-2,-7.264727116E0,5.183651447E-1,7.283211172E0
3.330418280E0,5.081787705E-3,-7.063580513E0,4.612436295E-1,7.078625656E0
3.340352342E0,3.901839256E-2,-6.854579926E0,3.106435537E-1,6.861726299E0
3.350906821E0,1.919980794E-1,-6.576794624E0,2.825896144E-1,6.585662281E0
3.360238228E0,1.716567278E-1,-6.184326172E0,1.106110811E-1,6.187696748E0
3.370869269E0,2.381980270E-1,-5.849012375E0,-2.860546112E-3,5.853861311E0
3.380239738E0,2.674311996E-1,-5.273952961E0,9.964293242E-2,5.281669054E0
3.390274790E0,3.525055349E-1,-4.689728737E0,2.821179628E-1,4.711412349E0
3.400433592E0,4.019559622E-1,-4.046636581E0,4.228596687E-1,4.088477286E0
3.410357499E0,4.384406507E-1,-3.510336399E0,2.984884381E-1,3.550181289E0
3.420753384E0,5.078653097E-1,-2.941642761E0,1.253331900E-1,2.987791445E0
3.430175311E0,5.624666810E-1,-2.386105061E0,3.061491251E-2,2.451693986E0
3.440024894E0,5.897033215E-1,-1.740949631E0,-2.343110442E-1,1.852986047E0
3.450435415E0,5.765767097E-1,-1.070199013E0,-5.462627411E-1,1.332730135E0
3.460046926E0,5.441619158E-1,-2.653970718E-1,-5.424097180E-1,8.128690538E-1
3.470457134E0,5.248157978E-1,5.312080383E-1,-2.699584961E-1,7.940347544E-1
3.480136092E0,5.138999820E-1,1.201124191E0,-1.840032935E-1,1.319336851E0
3.490642551E0,3.857867718E-1,1.852363586E0,-3.169823289E-1,1.918478586E0
3.500078905E0,3.285028338E-1,2.368641853E0,-4.516933560E-1,2.433599233E0
3.510775103E0,2.202056646E-1,2.943372726E0,-5.450869203E-1,3.001508503E0
3.520335259E0,5.572110415E-2,3.489461899E0,-6.380403042E-1,3.547752051E0
3.530286978E0,7.375165820E-2,4.214826584E0,-6.672229171E-1,4.267949023E0
3.540291457E0,1.155462861E-2,4.709986687E0,-3.935295343E-1,4.726412338E0
3.550499999E0,-8.609139919E-2,5.322393417E0,3.245335817E-2,5.323188578E0
3.560119113E0,-8.820012212E-2,5.790969849E0,1.881913543E-1,5.794698183E0
3.570603228E0,6.715625525E-3,6.072876930E0,1.262935996E-1,6.074193723E0
3.580050051E0,7.920190692E-2,6.282945633E0,4.409545660E-2,6.283599540E0
3.590164113E0,1.314137876E-1,6.577030182E0,-1.322093606E-1,6.579671338E0
3.600298748E0,2.898163199E-1,6.719815254E0,-2.893085480E-1,6.732281187E0
3.610210207E0,4.733892083E-1,6.843884468E0,-3.581188917E-1,6.869577942E0
3.620053280E0,5.445867777E-1,6.949243546E0,-2.470781803E-1,6.974927114E0
3.631114790E0,6.693719625E-1,6.900849342E0,-2.502781153E-1,6.937753210E0
3.640225103E0,8.310987949E-1,6.775898933E0,-3.385257125E-1,6.835066292E0
3.650379426E0,8.669404387E-1,6.598107338E0,-4.722964168E-1,6.671556795E0
3.660014946E0,8.762116432E-1,6.400602341E0,-6.378964186E-1,6.491715413E0
3.670769842E0,8.193140626E-1,5.768609047E0,-7.885360122E-1,5.879618603E0
3.681511144E0,8.105727434E-1,5.768692017E0,-7.860194445E-1,5.878151267E0
3.690003436E0,7.293157578E-1,5.414731026E0,-7.377782464E-1,5.513214153E0
3.700215519E0,5.891749859E-1,4.993198395E0,-5.034806728E-1,5.052984283E0
3.710192342E0,4.122852683E-1,4.399457932E0,-5.595017076E-1,4.454015199E0
3.720308488E0,3.109508753E-1,3.736784935E0,-6.700002551E-1,3.809088137E0
3.730158696E0,1.652102023E-1,3.162364006E0,-6.383545995E-1,3.230377240E0
3.740440676E0,1.042050421E-1,2.480168343E0,-5.390834212E-1,2.540217438E0
3.750215363E0,5.542460084E-2,1.953588486E0,-4.603023529E-1,2.007849126E0
3.760167551E0,1.715502143E-2,1.365306854E0,-2.438459396E-1,1.387017643E0
3.770264582E0,-2.118718624E-2,7.236223221E-1,2.380287647E-2,7.243236423E-1
3.780303280E0,-3.408464789E-2,-7.930154800E-1,7.790541649E-2,7.975616395E-1
3.790097498E0,-3.374019265E-2,-7.930126190E-1,7.778388262E-2,7.975322858E-1
3.800081873E0,7.164233923E-2,-2.239120007E0,1.925371885E-1,2.248524316E0
3.810007915E0,-2.518096566E-2,-2.242537022E0,1.863588691E-1,2.250407964E0
3.820179113E0,1.394508630E-1,-3.391978741E0,5.191063881E-2,3.395240939E0
3.830280728E0,1.391894668E-1,-3.391931057E0,5.267149210E-2,3.395194293E0
3.840121665E0,2.536042929E-1,-4.560265064E0,1.203727126E-1,4.568897261E0
3.850433332E0,1.264505088E-1,-4.557801723E0,9.399557114E-2,4.560524252E0
3.860599634E0,1.877226830E-1,-5.637425423E0,9.228646755E-2,5.641304990E0
3.871054946E0,2.255297303E-1,-6.087443352E0,2.638798952E-2,6.091676825E0
3.880085467E0,2.250773907E-1,-6.432122707E0,2.748125792E-2,6.436118207E0
3.889999790E0,1.575865597E-1,-6.691761017E0,5.678546429E-2,6.693857156E0
3.900105571E0,1.085373610E-1,-6.973661423E0,1.283552647E-1,6.975686996E0
3.910668905E0,1.081686169E-1,-7.088470459E0,9.116327763E-2,7.089881850E0
3.920412811E0,1.078291461E-1,-7.375669956E0,9.221214056E-2,7.377034466E0
3.930497707E0,1.308460534E-2,-7.373589039E0,3.456752896E-1,7.381698851E0
3.940300832E0,1.279163361E-2,-7.325605869E0,2.890696526E-1,7.331318179E0
3.950135936E0,-4.486519098E-2,-7.181848049E0,2.517119050E-1,7.186397788E0
3.960195936E0,-1.272086352E-1,-6.882801056E0,1.533296108E-1,6.885683872E0
3.970054009E0,-1.559886485E-1,-6.719784737E0,1.872062683E-3,6.721595262E0
3.980163332E0,-2.034125328E-1,-6.570224762E0,-1.373125315E-1,6.574806827E0
3.990414634E0,-2.033465505E-1,-6.186759472E0,-4.118238688E-1,6.203784448E0
4.000159061E0,-2.414261550E-1,-5.774519920E0,-4.943557978E-1,5.800668457E0
4.010581769E0,-2.411149293E-1,-5.199488163E0,-3.950787783E-1,5.220047970E0
4.020066405E0,-1.643922329E-1,-4.653283119E0,-1.529679298E-1,4.658698078E0
4.030026092E0,-2.954688370E-1,-3.983608246E0,-1.944338083E-1,3.999280060E0
4.040653748E0,-3.432208896E-1,-3.478398800E0,-1.711367369E-1,3.499478043E0
4.050491196E0,-3.420635164E-1,-2.999356270E0,-1.209961176E-1,3.021222525E0
4.060455832E0,-3.845165968E-1,-2.352601528E0,-2.667037249E-1,2.398690860E0
4.070012967E0,-3.826393187E-1,-1.749026299E0,-3.973886371E-1,1.833963896E0
4.080735311E0,-2.700310946E-1,-1.154669762E0,-4.387362003E-1,1.264384635E0
4.090145415E0,-1.921176612E-1,-2.448263168E-1,-1.597171426E-1,3.497980658E-1
4.100629582E0,-2.196441591E-1,4.731321335E-1,2.161100507E-1,5.646247660E-1
4.110420415E0,-2.174780965E-1,1.076045990E0,5.272782445E-1,1.217864542E0
4.120233280E0,-2.331064343E-1,1.711299896E0,5.795592666E-1,1.821750501E0
4.130106821E0,-1.825846732E-1,2.285444260E0,5.732793212E-1,2.363311619E0
4.140210467E0,-1.811128855E-1,2.810500145E0,3.983662128E-1,2.844364355E0
4.150380988E0,-1.303249300E-1,3.423129082E0,1.273029447E-1,3.427973649E0
4.160111613E0,-6.037887931E-2,4.105675697E0,8.136430383E-2,4.106925698E0
4.170076873E0,-1.009160280E-2,4.699107170E0,1.061504483E-1,4.700316793E0
4.180501873E0,-7.786652446E-2,5.181550980E0,2.125382423E-1,5.186492674E0
4.190147290E0,-1.407505274E-1,5.583361626E0,-2.107697725E-2,5.585175198E0
4.200446977E0,-2.626748681E-1,6.234418869E0,-8.460730314E-1,6.297048221E0
4.210110727E0,-2.572173178E-1,6.234538078E0,-8.422318101E-1,6.296425988E0
4.220151144E0,-2.251987159E-1,6.486495972E0,-1.245862842E0,6.608896933E0
4.230586092E0,-2.772416174E-1,6.640583992E0,-1.551591396E0,6.825075423E0
4.240666092E0,-2.719862163E-1,6.698979378E0,-1.626938105E0,6.899074489E0
4.250503904E0,-2.741446495E-1,6.697619438E0,-1.498125553E0,6.868598227E0
4.260214634E0,-2.804219127E-1,6.724432945E0,-1.292767048E0,6.853311719E0
4.270702915E0,-3.518837094E-1,6.562112808E0,-1.181625605E0,6.676929363E0
4.280509217E0,-2.335305214E-1,6.533141136E0,-1.042123199E0,6.619855767E0
4.290379738E0,-1.826793253E-1,6.370735168E0,-1.037168503E0,6.457194191E0
4.300415311E0,-5.641764402E-2,6.118693352E0,-7.484056354E-1,6.164552074E0
4.310014373E0,5.870488286E-2,5.755012512E0,-7.452165484E-1,5.803357906E0
4.320654113E0,1.013062224E-1,4.892419815E0,4.735753536E-1,4.916330767E0
4.330072654E0,1.009115279E-1,4.892008781E0,4.664907455E-1,4.915236176E0
4.340427186E0,1.757495403E-1,3.737083435E0,5.657861829E-1,3.783754023E0
4.350276196E0,1.745501161E-1,3.736791611E0,5.594257712E-1,3.782464339E0
4.360193592E0,3.055910468E-1,2.521560669E0,2.508744895E-1,2.552369900E0
4.370605832E0,3.699558675E-1,1.966053009E0,8.668440580E-2,2.002435009E0
4.380106404E0,4.207620621E-1,1.378447533E0,1.525821388E-1,1.449289351E0
4.390105154E0,4.177833796E-1,1.378341675E0,1.509043872E-1,1.448150841E0
4.400147915E0,3.693686426E-1,-1.261043549E-2,2.581536770E-2,3.704843457E-1
4.410254790E0,3.672532737E-1,-6.924571991E-1,-2.406382561E-1,8.199260393E-1
4.420774686E0,1.653223634E-1,-1.544580460E0,-4.578983784E-1,1.619484858E0
4.430098904E0,3.863031566E-1,-2.103670120E0,-2.821655869E-1,2.157377000E0
4.440229842E0,4.229192436E-1,-2.658800125E0,-5.179384947E-1,2.741594258E0
4.450122081E0,4.578930438E-1,-3.217037678E0,-4.686942101E-1,3.283088747E0
4.460208800E0,4.374874830E-1,-3.800834656E0,-5.223503113E-1,3.861423212E0
4.470170623E0,4.976447225E-1,-4.342346668E0,-3.482378721E-1,4.384620220E0
4.480375259E0,4.489839077E-1,-4.840022087E0,-2.782920599E-1,4.868762350E0
4.490140884E0,4.292873144E-1,-5.452637196E0,-2.373157740E-1,5.474656040E0
4.500218488E0,5.739540458E-1,-5.873757362E0,-1.916785240E-1,5.904844575E0
4.510286144E0,5.734705329E-1,-6.275758266E0,-5.555713177E-2,6.302150178E0
4.520463071E0,7.615217566E-1,-6.540541649E0,-7.915675640E-2,6.585200547E0
4.530047915E0,7.418234348E-1,-6.808521271E0,8.773088455E-3,6.848820400E0
4.540393540E0,7.854667902E-1,-6.894062042E0,2.440237999E-2,6.938706291E0
4.550356717E0,7.850591540E-1,-7.056740761E0,1.024162769E-1,7.101013810E0
4.560172811E0,8.802881241E-1,-7.230075359E0,2.290968299E-1,7.287069524E0
4.570077759E0,8.416402340E-1,-7.143846035E0,4.212665558E-1,7.205578392E0
4.580088123E0,8.751613498E-1,-6.990747452E0,3.814190626E-1,7.055631639E0
4.590433227E0,7.887610793E-1,-6.856623650E0,3.342546821E-1,6.909931845E0
4.600165623E0,7.617188096E-1,-6.596855164E0,1.259922385E-1,6.641881333E0
